;Albania ;Andorra ;Armenia ;Austria;Azerbaijan ;Belarus ;Belgium ;Bosnia and Herzegovina ;Bulgaria ;Croatia ;Cyprus ;Czech Republic ;Denmark ;Estonia ;Finland ;France ;Georgia;Germany ;Greece ;Hungary ;Iceland ;Ireland ;Israel ;Latvia ;Lithuania ;Macedonia ;Malta ;Moldova ;Monaco;Montenegro ;Netherlands ;Norway ;Poland ;Portugal ;Romania ;Russia ;San Marino;Serbia ;Serbia & Montenegro;Slovakia ;Slovenia ;Spain ;Sweden ;Switzerland ;Turkey ;Ukraine ;United Kingdom 
Serbia ;0.000000000000000000e+00;nan;1,67E+18;nan;2,00E+18;2,00E+18;nan;1,07E+19;6,00E+18;4,00E+18;nan;nan;5,00E+17;0.000000000000000000e+00;0.000000000000000000e+00;1,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;6,00E+18;1,20E+19;0.000000000000000000e+00;0.000000000000000000e+00;3,50E+18;0.000000000000000000e+00;0.000000000000000000e+00;1,00E+19;7,00E+18;5,00E+17;nan;nan;nan;7,00E+18;0.000000000000000000e+00;5,00E+17;6,67E+17;5,67E+18;nan;nan;nan;nan;5,00E+18;0.000000000000000000e+00;6,67E+17;nan;0.000000000000000000e+00;3,00E+18;2,67E+18
Serbia & Montenegro;8,00E+18;nan;0.000000000000000000e+00;0.000000000000000000e+00;nan;nan;0.000000000000000000e+00;7,33E+18;nan;8,33E+18;2,00E+18;nan;0.000000000000000000e+00;nan;7,00E+18;0.000000000000000000e+00;nan;0.000000000000000000e+00;8,33E+18;6,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;3,00E+18;9,00E+18;0.000000000000000000e+00;2,50E+18;nan;nan;0.000000000000000000e+00;6,67E+17;0.000000000000000000e+00;nan;1,67E+18;2,00E+18;nan;nan;nan;nan;nan;0.000000000000000000e+00;1,67E+18;0.000000000000000000e+00;6,67E+17;4,00E+18;0.000000000000000000e+00
Slovakia ;0.000000000000000000e+00;nan;3,00E+18;nan;4,00E+18;nan;7,00E+18;8,00E+18;nan;5,00E+18;5,00E+18;nan;0.000000000000000000e+00;1,00E+19;0.000000000000000000e+00;0.000000000000000000e+00;nan;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;6,00E+18;4,00E+18;2,50E+18;nan;0.000000000000000000e+00;3,00E+18;6,00E+18;0.000000000000000000e+00;nan;nan;6,00E+18;5,00E+18;0.000000000000000000e+00;2,00E+18;0.000000000000000000e+00;0.000000000000000000e+00;nan;nan;nan;nan;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1,00E+18;4,00E+18
Slovenia ;2,50E+18;nan;1,25E+18;2,75E+18;1,00E+18;0.000000000000000000e+00;1,80E+18;7,70E+18;7,00E+18;9,00E+18;8,33E+17;nan;3,29E+18;4,67E+18;1,33E+18;1,45E+18;1,00E+18;1,55E+18;2,60E+18;1,67E+18;1,50E+18;5,71E+17;1,22E+18;2,57E+18;8,33E+17;5,33E+18;1,56E+18;1,00E+18;nan;nan;1,40E+18;3,44E+18;5,00E+17;0.000000000000000000e+00;4,44E+17;2,89E+18;nan;1,20E+19;1,10E+19;0.000000000000000000e+00;nan;1,82E+17;2,64E+18;1,75E+18;9,09E+17;2,29E+18;1,64E+18
Spain ;0.000000000000000000e+00;nan;7,50E+18;3,20E+18;0.000000000000000000e+00;0.000000000000000000e+00;3,33E+18;4,00E+17;1,00E+19;1,36E+18;1,29E+18;nan;4,00E+18;1,57E+18;1,43E+18;1,50E+18;0.000000000000000000e+00;5,75E+18;3,30E+18;1,67E+18;2,00E+18;3,75E+17;2,50E+18;2,63E+18;6,67E+17;0.000000000000000000e+00;2,70E+18;4,25E+18;nan;nan;1,83E+18;2,90E+18;1,00E+18;5,00E+18;8,00E+18;2,70E+18;nan;5,00E+17;3,00E+18;0.000000000000000000e+00;2,33E+18;nan;3,17E+18;0.000000000000000000e+00;9,17E+17;4,57E+18;1,50E+18
Sweden ;2,00E+18;nan;1,25E+18;2,60E+18;4,00E+18;0.000000000000000000e+00;8,33E+17;6,20E+18;0.000000000000000000e+00;3,64E+17;1,00E+18;nan;6,63E+18;6,71E+18;8,14E+18;1,50E+18;0.000000000000000000e+00;1,08E+18;3,90E+18;2,67E+18;6,43E+18;1,25E+18;9,00E+17;2,63E+18;6,67E+17;0.000000000000000000e+00;2,20E+18;5,00E+17;nan;nan;2,83E+18;7,30E+18;1,00E+18;0.000000000000000000e+00;9,00E+17;1,90E+18;nan;8,00E+18;8,00E+18;0.000000000000000000e+00;1,17E+18;1,33E+18;nan;1,00E+18;2,25E+18;2,00E+18;9,17E+17
Switzerland ;7,75E+18;nan;0.000000000000000000e+00;3,67E+18;0.000000000000000000e+00;0.000000000000000000e+00;1,00E+18;5,86E+18;0.000000000000000000e+00;4,50E+18;4,00E+17;nan;1,67E+18;0.000000000000000000e+00;1,29E+18;1,89E+18;0.000000000000000000e+00;5,89E+18;3,38E+18;1,00E+18;1,25E+18;2,60E+18;2,00E+18;2,50E+18;0.000000000000000000e+00;1,86E+18;2,14E+18;0.000000000000000000e+00;nan;nan;2,33E+18;1,29E+18;0.000000000000000000e+00;6,67E+18;1,11E+17;2,50E+17;nan;1,20E+19;1,20E+19;0.000000000000000000e+00;6,67E+17;4,56E+18;5,56E+17;nan;6,33E+18;3,33E+17;1,00E+18
Turkey ;4,75E+18;nan;9,50E+18;4,40E+18;1,20E+19;0.000000000000000000e+00;3,00E+18;7,20E+18;6,00E+18;3,18E+18;1,43E+17;nan;7,50E+17;3,14E+18;1,00E+18;2,50E+17;4,50E+18;2,00E+18;4,60E+18;2,00E+18;2,86E+18;2,63E+18;1,80E+18;7,50E+17;0.000000000000000000e+00;2,29E+18;3,00E+18;5,50E+18;nan;nan;2,50E+18;1,50E+18;0.000000000000000000e+00;1,00E+18;2,20E+18;3,20E+18;nan;0.000000000000000000e+00;4,00E+18;0.000000000000000000e+00;5,00E+17;1,08E+18;2,92E+18;0.000000000000000000e+00;nan;4,43E+18;2,08E+18
Ukraine ;0.000000000000000000e+00;nan;5,50E+18;0.000000000000000000e+00;1,00E+19;1,20E+19;5,00E+18;1,43E+18;3,00E+18;2,67E+18;1,33E+18;nan;1,25E+18;2,00E+18;1,75E+18;4,29E+17;8,00E+18;0.000000000000000000e+00;1,43E+18;1,00E+18;1,00E+18;7,50E+17;2,60E+18;1,00E+18;1,67E+18;7,50E+17;2,20E+18;6,50E+18;nan;nan;0.000000000000000000e+00;5,67E+18;4,33E+18;2,00E+18;2,00E+18;9,71E+18;nan;3,00E+18;7,50E+18;nan;2,00E+18;0.000000000000000000e+00;1,86E+18;2,50E+18;1,86E+18;nan;8,57E+17
United Kingdom ;2,50E+17;nan;0.000000000000000000e+00;3,20E+18;1,50E+18;0.000000000000000000e+00;2,67E+18;4,00E+17;5,00E+18;1,82E+17;3,00E+18;nan;4,75E+18;4,14E+18;1,71E+18;1,58E+18;0.000000000000000000e+00;2,92E+18;6,50E+18;6,67E+17;3,43E+18;6,75E+18;1,70E+18;4,63E+18;3,50E+18;0.000000000000000000e+00;5,10E+18;5,00E+17;nan;nan;3,17E+18;3,50E+18;1,00E+18;0.000000000000000000e+00;6,00E+17;1,50E+18;nan;0.000000000000000000e+00;1,50E+18;0.000000000000000000e+00;1,00E+18;5,00E+17;4,75E+18;0.000000000000000000e+00;4,08E+18;2,86E+18;nan
